orig,kr
トドメの一撃,최후의 일격
秘技の拵え,비장의 무기
奥義ダメージUP　◆メイン装備時/主人公のみ,오의 데미지 UP<br>◆메인 장비시 / 주인공만


ノーティーウィッチ,노티 위치
年に一度の楽しいハロウィンを守るべく、とある銃工房が警備用に作成した逸品。仮装に合わせても違和感のないよう、箒の形を模して造られている。しかしやや過剰な装飾を施されても威力は全く落ちておらず、闇夜に紛れる無法者を決して逃しはしないのだった。
ブラッディリコイル,블러디 리코일
土属性ダメージ(特大)/敵の弱体効果の数に応じて自分の連続攻撃確率UP,토속성 데미지(특대) / 적의 약화 효과의 수에 따라 자신의 연속공격 확률 UP


アストロモデル,아스트로 모델
星は示す、人の営みを。星は示す、進むべき道を。星は示す、現在から未来へ繋がる希望を。限られた時間の中で懸命に輝かんとする生命を見守って来た星々は、今、導くための灯火を与える。星見達は祈る。栄光ある未来へ導かんと瞬き続ける、満天の星々に救いを求めて。
アストラル・バースト,아스트랄 버스트
火属性ダメージ(特大)/味方全体のクリティカル確率UP,화속성 데미지(특대) / 아군 전체의 크리티컬 확률 UP
連舞の拵え,연무 준비


!격투
獅子王戦拳,사자왕전권
古の王はその座を去る時、己の愛した武器を封じた。それは長き時を眠り、今、新たなる主の訪れに目覚める。
金剛崩牙,금강붕아


クリムゾンフィンガー,크림슨 핑거
かつて火口に封印された悪魔がいた。悪魔を溶かした灼熱のマグマから生まれた魔爪は、全ての存在を焼き尽くす。
メルトブレイン,멜트 브레인


マナウィダンガントレ,마나위단 건틀릿
マナウィダンの恵みを受けた手甲には大地を抉る激流が如き威力が宿り、雨粒に映る獲物に天災たる一撃を見舞う。


ティアマトガントレ・マグナ,티아마트 건틀릿・마그나
狂風は枷から解き放たれ、もはや吹き荒れる事すら覚えていない。比類なき破壊の打撃となって全てを襲い、そして打ちのめす。


ココ＆ミミ,코코 & 미미
一対の白き毛玉は、冥き獣の魂を受け継ぐ。侮るなかれ、人々を魅了してやまない、その圧倒的な柔らかさを。
凶獣の三爪,흉수의 세 발톱
主人公のみトリプルアタック確率上昇(大),주인공만 트리플 어택 확률 상승(대)


コロッサスフィスト・マグナ,콜로서스 피스트・마그나
鋼を裂く声なき慟哭はその両腕に陽炎を生む。歪む視界に捉えられたものは皆一様に、超高温によって霧散させられることとなる。


六崩拳,육붕권
黄金の拳に宿りしは摂理を表す六つの輝き。あるべき道を信じ振るわれる拳は時に事象を超え、穢れに歪んだ世界を砕く。,황금의 주먹에 깃든 것은 섭리를 나타내는 여섯개의 빛。가야할 길을 믿고 휘두르는 주먹은 때로 사상을 초월해 추악하게 일그러진 세계를 부순다
六界紅掌,육계홍장


紅陽扇,홍앙선
その鉄扇は無限の熱をもって蔓延る穢れを浄化する。三度も煽げば、いかに広大な世界であろうとも余すことなく焦土へと変える。
ソル・ブラスト,솔 블래스트


六崩拳・真,육붕권・진
炯々たる宝珠の真意は破壊と創世。嘆き苦しむ人々のために振われる覚悟の拳は、あらゆる不条理を打ち壊し、希望の満ちる世界を創り出す。,날카롭게 빛나는 보주의 진의는 파괴와 창세。슬픔에 빠진 이들을 위해 휘두르는 각오의 주먹은 모든 부조리를 부수고 희망찬 세상을 만들어 낸다
六界紅掌＋,육계홍장＋
光属性ダメージ(特大)/味方全体にカウンター効果(*回),광속성 데미지(특대) / 아군 전체에게 카운터 효과(*회)

六崩拳・焔,육붕권・염
火属性ダメージ(特大)/味方全体にカウンター効果(*回),화속성 데미지(특대) / 아군 전체에게 카운터 효과(*회)

六崩拳・雪,육붕권・설
水属性ダメージ(特大)/味方全体にカウンター効果(*回),수속성 데미지(특대) / 아군 전체에게 카운터 효과(*회)

六崩拳・凪,육붕권・지

六崩拳・界,육붕권・계

六崩拳・煌,육붕권・황
六崩拳・煉,육붕권・연


バハムートナックル・ノヴム,바하무트 너클・노붐
創世の龍の純粋たる力を象り、畏怖の念を込めて造られた手甲。とどまることの無い破壊の衝動を乗せ、振い落される拳は天地を微塵も残さずに粉砕する。
ヒュムアニムス・メンス,흄 아니무스・맨스
ヒューマン族の最大HP上昇,휴먼의 최대 HP 상승


鬼神の籠手,귀신의 아대
一騎当千、国士無双を成し遂げた比類なき力に手甲は呼応し、真なる姿を解放する。大気を揺らす覇気は天理を屈服させ、放たれる拳は条理の壁を撃ち砕く。
一矢報いる烈火の揮い,받아치는 열화의 권
破壊を齎す強心,파괴를 초래하는 강한 마음
稀に全ての攻撃を回避。回避時に奥義ゲージUP,드물게 모든 공격을 회피 / 회피시 오의 게이지 UP
強者の余裕,강자의 여유
カウンター使用時にかばう効果,카운터 사용시 감싸기 효과


六崩拳・紅天,육붕권・홍천
六界紅掌＋＋,육계홍장＋＋

六崩拳・蒼天,육붕권・창천
六崩拳・轟天,육붕권・굉천
六崩拳・疾天,육붕권・질천
六崩拳・白天,육붕권・백천
六崩拳・黒天,육붕권・흑천


緋舞扇,비무선
ソシエが自身の純粋な魔力を込め、お守りと手渡してきた一対の扇。雅かな紋章が刻まれた扇面は大気を凍らせ、空を白に染め上げる。
紅水仙,홍수선
水属性ダメージ(特大)/奥義ゲージ上昇量UP,수속성 데미지(특대) / 오의 게이지 상승량 UP
舞姫の演武,무희의 연무
水属性キャラのダメージ上限上昇,수속성 캐릭터의 데미지 상한 상승


マモーナスグローブ,맘모나스 글러브
絢爛豪華に彩られた異形の翼は、飽くなき欲望の渦に呼応する。人の人たる所以の忘却を代償に、心より求めしものを必ず授ける。
グリーディスティル,그리디 스틸
風属性ダメージ(特大)/自分のHP回復,풍속성 데미지(특대) / 자신의 HP 회복


ギガントナックル,기간트 너클
古の技術は遥か時を越えた正義の輝きと共に甦る。拳に走る蒼き光はその威力と想いを増幅し、高まる正義は咆哮をもって太古の獣をも叩き伏せる。
ギガントスマッシャー,기간트 스매셔
光属性ダメージ(特大)/稀に暗闇効果,광속성 데미지(특대) / 드물게 암흑 효과


リスレット,리슬렛
穢れ無き純粋な珠玉をあしらうは、気高き威光を放つ不思議な手甲。放たれる激烈な一撃は迷いを砕き、光溢れる未来を創り出す。
獅子戦吼,사자전후


梵天添甲,범천첨갑
命ある全ての者に宿りし炎は集約し、万物を塵に帰す紅蓮の華を咲かす。燃ゆる花弁は天を踊り、この世の条理を焦がし尽くしたその先に、新たなる世界を創りあげる。,"생명있는 모든 것에 깃든 불꽃은 집약해, 만물을 티끌로 되돌리는 홍련의 꽃을 피운다。타오르는 꽃잎은 하늘에서 춤추고, 세상의 이치를 불태운 후, 새로운 세계를 만든다"
紅蓮拳,홍련권
火属性ダメージ(特大)/幻影効果(*回),화속성 데미지(특대) / 환영 효과(*회)
古今無双の烈拳,고금무쌍의 열권
得意武器が「格闘」のキャラのダブルアタック確率UP　◆メイン装備時,특기무기가 「격투」인 캐릭터의 더블어택 확률 UP　◆메인 장비시


白虎咆拳,백호포권
迅雷を吐きて猛り狂う神獣が如く、轟然の一撃が突き刺さる。その闘牙、真の拳に宿りし時、ほとばしる衝撃は万空を走り天涯をも震わせる。
四象大道王牙・西白,사상대도왕아・서백
土属性ダメージ(特大)/幻影効果(*回),토속성 데미지(특대) / 환영 효과(*회)


ストリートファイト,스트리트 파이트
強者を追う者と父の仇を追う者、その想いと血と汗とが染み込んだ武器。身につければ、彼らの熱き想いがその身に宿る。
滅・波動拳,멸・파동권
セービングアタック,세이빙 어택


鬼神の籠手・再誕,귀신의 아대・재탄
一矢報いる烈火の揮い＋＋,받아치는 화염의 권＋＋

鬼神の籠手・猩々,귀신의 아대・성성
火属性ダメージ(特大)/奥義ゲージUP(**%)/カウンター効果(*回),화속성 데미지(특대) / 오의 게이지 UP(**%) / 카운터 효과(*회)

鬼神の籠手・露草,귀신의 아대・노초
鬼神の籠手・落葉,귀신의 아대・낙엽
鬼神の籠手・琅玕,귀신의 아대・낭간
鬼神の籠手・月白,귀신의 아대・월백
鬼神の籠手・漆黒,귀신의 아대・칠흑


シザーハンズ,시저 핸즈
"北海に棲む""覇王""と呼ばれる巨大ガニの鋏を利用した武具。厳しい環境下で縄張り争いを繰り広げるために研ぎ澄まされた鋏は自然が生んだ兵器とも呼べる。それを両腕に装備する者は、正に氷河の覇王と呼ぶに相応しい威容と力をその手にできるだろう。"
ウルトラインパクト,울트라 임팩트


オールド・オベロン,올드・오베론
偉大なる妖精王が愛せし手甲。古層の氷結は永劫の煌めきを留め、星霜を経てますます光差し、終に原始の神々しさを発露せん。
ウダカ・オーシュタ,우다카 오슈타


オベロン,오베론
妖精王の霊威と繋がりし覚醒の手甲。古層に眠る氷晶は、星霜を経て鋭く研がれ、無為の拳刃となりて宙を舞えば、血煙噴く八つ裂きの風が踊り狂わん。


セレストクロー・マグナ,셀레스트 클로・마그나
暗闇に溶ける三爪は冥府を導く鎌となって降り落ちる。闇中一閃、脈動する命を静かに切り裂き、咲き乱れる紅く甘美な花は宵闇を鮮やかに彩る。


バハムートナックル・フツルス,바하무트 너클・푸투루스
創世の龍の純粋たる力を象り、畏怖の念を込めて造られた終極の手甲。悠久に忘却せし原始の衝動を追憶し、赴くままに撃ち落ろした拳は世を遍く灰燼に帰す。
ヒュムアニムス・ビス,흄 아니무스・비스
ヒューマン族の連続攻撃確率上昇,휴먼의 연속공격 확률 상승
ラピドゥス・ヒュムアニムス,라피두스・흄 아니무스
パーティのヒューマン族のキャラの数に応じて連続攻撃確率上昇,파티의 휴먼 캐릭터 수에 따라 연속공격 확률 상승


ガントレット・オブ・コスモス,건틀릿 오브 코스모스
混沌を治める秩序の手甲。赤き瞳の少女は従えし龍の力を紡ぎ出し、蒼き祈りを込めて結晶化させた。その輝きは黎明となって乱世に絶対の律を布くだろう。
メディエーションブロウ＋,미디에이션 블로우＋
装備中の「格闘」の攻撃力とHPが上昇,장비한 「격투」의 공격력과 HP가 상승
秩序の蒼拳,질서의 푸른 주먹
装備している「格闘」の数が多いほどダメージ上限上昇,장비한 「격투」의 수가 많을수록 데미지 상한 상승


方天画戟,방천화극
伝説の英傑が愛した凶刃の手甲。戦場に生きる武人は、刃を失おうと鬼神の如き拳撃で突き進む。
月牙,월아
武器属性ダメージ(特大)/自分に与ダメージ上昇効果,무기속성 데미지(특대) / 자신에게 데미지 상승 효과


毒手,독수
毒を飲み、毒を食み、毒に触れ続けることで体得できる殺しの術。毒に殺されず生き残った者だけが、毒で殺す側に回ることを許されるのだ。
双頭蛇,쌍두사
土属性ダメージ(特大)/毒効果,토속성 데미지(특대) / 독 효과
Vスキル,V 스킬


マグマガントレット,마그마 건틀릿
極炎を纏った重量級の手甲。その重さと熱ゆえに扱いづらく持つ者を選ぶが、ひとたび身になじめば、すべてを焼き尽くす業火を生む。
インフェルノ・スマッシュ,인페르노 스매시
火属性ダメージ(特大)/自分の攻撃UP(累積),"<span style=""font-size: 90%"">화속성 데미지(특대) / 자신의 공격 UP (누적)</span>"


エンシェントバンテージ,에인션트 밴티지
古より長きに渡って受け継がれてきたバンテージ。見てくれはただの草臥れた布きれだが、歴戦の強者たちの魂が染みついたこの布を拳に巻いた者は勝利への執念に捲かれ、内に秘めたる闘争本能を呼び醒ますという。
サンドバッシュ,샌드 배쉬


玄武殻拳,현무각권
瑠璃色の甲羅を纏う神秘の霊獣は至高の硬度を誇る。その悠然たるたたずみが揺らめきを帯びて一閃を撃ち放つ時、ほとばしる爆轟が空を焦がし天を突き破る。
四象白空克響・北玄,사상백공극향・북현
スキル：霧氷の追牙・肆,스킬：무빙의 추아・사


リボン,리본
ゾーイの夏の装いを可憐に仕上げてくれるリボン。女の子とは何かを探求するうえで着けてみたところ、ゾーイのお気に入りになった。ディとリィとお揃い。
ジ・オーダーズ・ファイト,디 오더즈 파이트


ヴィルヘルム,빌헬름
戦場を主と共に駆け抜け、その嘶き一つで大軍を撤退させたという伝説を持ちし神馬の力を宿せし手甲。装着者に伝説の神馬の如き、力と勇気を与え、英雄へと導く力を持つ。
オーラプリズンフォール,오라 프리즌 폴


天華簪,천화잠
日輪の如き眩さと焔の苛烈さの双方を合わせた意匠をもつ美しき簪。装飾品としての美しさは至高の域にあり、担い手を天上の存在が如く美しく彩る。されど、一度、武器として使用すれば、日輪が放つ紅焔の如き苛烈さで、あらゆるものを射抜き、死へと誘う。
紫陽花,자양화


スヴァルガントレット,스발 건틀릿
スヴァル族の戦士が身に着けていた手甲。猛く燃ゆる炎の如き装甲はスヴァル族の戦士の熱き信念を象る。
紅蓮掌,홍련장
火属性ダメージ(特大)/火属性追撃効果,화속성 데미지(특대) / 화속성 추격 효과
半獣の咆哮,반수의 포효
"<span class=""text-small"">敵の攻撃行動のターゲットになった場合にダブルアタック確率UP(累積)/敵対心UP<br>◆メイン装備時/主人公のみ</span>","<span class=""text-small"">적에게 공격 받았을 경우 더블어택 확률 UP(누적) / 적대심 UP ◆메인 장비시 / 주인공만</span>"
炎の背骨,화염의 척추


グローブ・オブ・ウリエル,글러브 오브 우리엘
天司ウリエルから比類なき土の属性の加護を施された手甲。鈍き金茶に叩き上げられし拳固は、諸事万端を雄々しき大地に押し潰す。手にする者を魅了する荘厳な煌めきは、闇をも払う力となろう。
セラフブレイズ,세라프 블레이즈
ウリエルの祝福II,우리엘의 축복 II
土属性のキャラが水属性の敵に対して与ダメージUP,토속성 캐릭터가 수속성 적에게 가하는 데미지 UP


銀の依代の手甲,은빛 의대용 장갑
漆黒の闇夜を比類なき燐光をもって照らし出す、銀の依代の手甲。一縷の望みに天命を賭してこそ、その彷徨う心魂は導かれ峻厳たる蒼天の果てへと向かう。,"칠흑 같은 어두운 밤에도 인광을 내는 은빛 의대용 장갑。한가닥 희망에 천명을 걸었을 때, 그 방황하는 심혼은 인도되어 준엄한 창천의 끝으로 향한다"


黄金の依代の手甲,황금빛 의대용 장갑
天地万物随一の燦爛をもって、混沌たる世の中を掌握せしめんとする黄金の依代の手甲。遥かなる高みに辿り着きし者こそが、万有の主となろう。,천지만물 제일의 찬란함으로 혼돈스러운 세상을 장악하고 있는 황금빛 의대용 장갑。까마득히 높은 경지에 도달한 자야말로 만물의 주인이 될 것이다


メタルハンド,메탈핸드
かつて科学者達は最先端の技術を結集し、鋼鉄を超えた合金を生みだした。そして今、その合金を加工する段階まで到達し、初めて武器が作製されることに。だがそれは、実用性よりも、どこまでしなやかに加工できるのかという実験も兼ね、なんとも懐古趣味に走った意匠となった。
ミサイル,미사일


黄龍拳,황룡권
四象の中央に坐す、黄龍の鱗から生み出されし黄金色の手甲。光輝絢爛たる天佑を受け、その一撃は天を震わせ闇をも撃ち抜く。今まさに万有の頂とならん。
白召刃,백소인
光属性ダメージ(特大)/光属性防御DOWN,광속성 데미지(특대) / 광속성 방어 DOWN
震天の雷鳴,진천의 뇌명
震天の黄鱗,진천의 황린
闇属性ダメージ軽減,암속성 데미지 경감


白虎咆拳・王,백호포권・왕
迅雷を吐きて猛り狂う神獣が如く、轟然の一撃が突き刺さる。猛々しき地響きを起こせば、此の世は土砂のように崩れさり、全ては土へと還らん。

白虎咆拳・覇,백호포권・패
迅雷を吐きて猛り狂う神獣が如く、轟然の一撃が突き刺さる。濘猛な土石流はありとあらゆる物を見境なく巻き込み、恰もその起源を無と化そう。
大道之牙,대도지아
毎ターン攻撃UP ◆メイン装備時/主人公のみ/被ダメージで解除,매 턴 공격 UP ◆메인 장비시 / 주인공만 / 데미지를 받으면 해제

白虎咆拳・邪,백호포권・사
迅雷を吐きて猛り狂う神獣が如く、轟然の一撃が突き刺さる。邪なる威信によりて、大いなる大地を震わせしとき、此の世は天から崩れ落ちよう。
西白の真髄,서백의 진수


ディアドリッククロー,디아볼릭 클로
荒々しき獣の如き鉤爪は、真竜ディアドラの被毛により装飾されたことにより、その恩恵を受ける。一閃すれば狂風巻き起こり、如何なる逆境をも吹き飛ばさん。
風裂く刃,바람을 찢는 칼날


桃色の団扇,연분홍 부채
コンサート用の応援グッズ。その団扇をひと仰ぎするだけで辺りに蠱惑的な香りが充満し、狂信的な一体感をもたらす。


ローズクリスタルクロー,로즈 크리스탈 클로
燃えるが如く咲き誇る薔薇の生命力を結集し象られた手甲。魅惑に艶めく薔薇は、触れるもの、その全ての者達の五臓を華麗な鉤爪で細断する。
ドミネイションフィスト,도미네이션 피스트
土属性ダメージ(特大)/味方全体の風属性ダメージ軽減,토속성 데미지(특대) / 아군 전체의 풍속성 데미지 경감
橙薔薇の髄,주황장미의 정수
土属性キャラの攻撃力と最大HPが上昇(中),토속성 캐릭터의 공격력과 최대 HP가 상승(중)
橙薔薇の蕾,주황장미의 꽃봉오리
土属性キャラが受ける風属性ダメージ軽減,토속성 캐릭터가 받는 풍속성 데미지 경감


無垢なる竜の爪,무구한 용의 손톱
窮極なる竜の窮粋たる力を象り、尊崇の念を込めて造られた拳鍔。無垢なる衝迫は光と闇、そのどちらにも染まり得る。万物流転、破壊は再生と渾然一体となり、此の世の全てを凌駕せしめん。
ルクトール・ルーベル,룩토르・루벨
得意武器が「格闘」のキャラの攻撃力とHP上昇(大),특기무기가 「격투」인 캐릭터의 공격력과 HP 상승(대)


オメガクロー,오메가 클로
彼方より飛来した未知なる鉄より生まれしは終極の鉤爪。地を割り、空を震わせ、星を砕くその一撃は、今まさに神をも撃たん。


ウーチンフィスト,성게 주먹
アウギュステの深海に生息するンニの堅固な殻を加工し生み出された手甲。どのような角度で殴ろうとも、その過度な装飾とも思われる無数の棘により敵の経穴を突く。一撃必殺は、この手甲の名と同義といえよう。
ウーチンスマイト,성게 스마이트
火属性ダメージ(特大)/ダメージ反射(*回),화속성 데미지(특대) / 데미지 반사(*회)
棘皮,극피
メイン装備時味方全体の防御力上昇,메인 장비시 아군 전체의 방어력 상승
叉棘,차극


トレピリ,응원봉

ラウドネス,라우드니스
水属性ダメージ(小)/味方全体の水属性攻撃UP(大)/活性効果,수속성 데미지(소) / 아군 전체의 수속성 공격 UP(대) / 활성 효과


ドラグクロー,드래그 클로
己が強靭を誇示するのみの竜爪が、誰かを守護する武装となる。帯びた逆鱗は装者の想いに応え、魔も神も等しく掴み落とす。
火竜の鉤爪,화룡의 갈고리 발톱
火属性ダメージ(特大)/火属性防御DOWN,화속성 데미지(특대) / 화속성 방어 DOWN


ゴシックカトラリー,고딕 커틀러리
噂に名高い芸術家が、調度品として作製した一対の食卓用の刃物。希少な素材が使われているだけでなく、そこに荘厳なる様式美が施されていることからも、芸術愛好家の間では驚くべきほど高値で取引されている。
メナジェール,메나쥬


天干地支爪・戌之飾,천간지지조・술지식
ヴァジラと共に厄払いの神事を行う縁起の良い祭具。金色に煌めく鍬形の装飾が施された頑強な爪は災難を切り裂き、神社を訪れた騎空士達に万福を授ける。
金牙神然・戌之飾,금아신연・술지식
水属性ダメージ(特大)/恐怖効果(*～*ターン),수속성 데미지(특대) / 공포 효과(*～*턴)


チャンピオンベルト,챔피언 벨트
鍛え上げた美しき肉体のみで闘争の境地に至り、さらに美学を理解した豪傑に継承される幻の秘宝。継承者の戦いは、必ず始まりと終わりに銅鑼が鳴り響き、如何なる状況であろうと、人々の心を惹きつける名勝負となって拍手喝采を巻き起こす。
勇猛果断,용맹과단
武器属性ダメージ(特大)/カウンター効果(被ダメージ/*回)/防御UP,무기속성 데미지(특대) / 카운터 효과(*회) / 방어 UP
格闘王の賦性,격투왕의 천성
ナイフハンド・ストライクの性能UP/かばう効果(*ターン)を追加　◆メイン装備時,나이프 핸드 스트라이크의 성능 UP / 감싸기 효과(*턴)를 추가 　◆메인 장비시
格闘王の資質,격투왕의 자질


ブラフマンガントレ,브라흐만 건틀릿
憤激の破壊神との戦いの果てに、此岸の全てを焼き尽くす神威の劫火を放つ手甲が生まれた。その力が解き放たれる時、世界は壊劫を迎える。


ミトロンの籠手,미트론의 건틀릿
虚ろなれども、光は覇する。受け継いだ意思は手甲となり、全空を光で満ち溢れさせる。あらゆる闇は居場所を失い、未来の脅威も引き裂いて滅す。
昴,묘성
光属性ダメージ(特大)/発動ターン中味方全体の被ダメージカット(**%)/味方全体の光属性攻撃UP,"<span class=""text-small"">광속성 데미지(특대) / 발동 턴 중 아군 전체가 받는 데미지 컷(**%) / 아군 전체의 광속성 공격 UP</span>"


セフィラの翠甲,세피라의 취갑
決意ノトキハ来タレリ。未知ナル手甲ニテ道を切リ拓キ、ソノ先ニアル真相ヲ示セ。
フォービドゥンブロー,포비든 블로우
土属性ダメージ(特大)/土属性追加ダメージ,토속성 데미지(특대) / 토속성 추가 데미지


デスハンド,데스 핸드
虚ろなる破壊の衝動が擬躯に満ちた時、生存への執念が戦器を獣に変える。
メガデスクロー,메가 데스 클로
闇属性ダメージ(特大)/光属性攻撃DOWN,암속성 데미지(특대) / 광속성 공격 DOWN
超壊獣デスパワーZ,초괴수 데스파워 Z
ダークデスフィスト,다크 데스 피스트
カウンター発動中敵対心UP/カウンターダメージ上昇　◆メイン装備時/主人公のみ,카운터 발동 중 적대심 UP / 카운터 데미지 상승　◆메인 장비시 / 주인공만


キック力増強シューズ,킥력 강화 운동화
阿笠博士がコナンのために作った発明品。電気と磁力で足のツボを刺激し、筋力を極限まで高める事で、子供でも強力なキックを放つ事ができる。犯人確保にお役立ち。
レインフォースシュート,리인포스 슛
阿笠博士の発明品,브라운 박사의 발명품
必殺武器,필살무기
光属性キャラのアビリティダメージUP,광속성 캐릭터의 어빌리티 데미지 UP


龍虎双滅拳,용호쌍멸권
その手甲を、或る者は龍の牙に例えた。或る者は虎の爪に例えた。天地を揺るがす剛力は、そのどちらでもなく、どちらでもあるのだ。
破虎撃龍,파호격룡
土属性ダメージ(特大)/自分のHP回復,토속성 데미지(특대) / 자신의 HP 회복
老境の流儀,노경의 방식
防御力UP/敵対心UP　◆メイン装備時/主人公のみ,방어력 UP / 적대심 UP　◆메인 장비시 / 주인공만


ルーリングペン,룰링펜
線を引き、敵を突く。特殊なペンが結ぶ軌跡は、空に線を引くがごとし。描かれた線は幻想を現前させ、芸術へと昇華するだろう。封じられし力が花開くように。
ペンは剣よりも強し,펜은 검보다 강하다
グラファイト・クラフト,그라파이트 크래프트
闇属性キャラがクリティカル発動時に与ダメージ上昇,암속성 캐릭터의 크리티컬 데미지 상승


レインボーブレス,레인보우 브레스
ポルンのプリキュアを助けたいという想いによって、内に秘めた力が発動して現れる、ブレスレット型アイテム。ポルンから飛び出した光が、ブラックとホワイトの腕に命中することで装着される。プリキュアは、このレインボーブレスを装着することによって、必殺のマーブルスクリューよりさらに強力なレインボーストームを発射することができる。
プリキュア・レインボーストーム,프리큐어 레인보우 스톰
プリズムストーンの力,프리즘 스톤의 힘
虹色の光,무지개 빛
自分に活性効果　◆メイン装備時/主人公のみ,"<span class=""text-small"">자신에게 활성 효과　◆메인 장비시 / 주인공만</span>"


ネコパンチ・プロ,냥이펀치 프로
標準的なネコパンチに最新のカスタマイズを加えたプロ仕様のネコパンチ。鏡面加工により仕上げられたボディと、輝くゴールドカラーが高級感を演出。従来モデルより、爪が大きく改良されたことでより使いやすく、戦いやすく進化した全く新しいネコパンチ体験をあなたに。
ゴージャス・スクラッチ,고저스 스크래치
土属性ダメージ(特大)/睡眠効果,토속성 데미지(특대) / 수면 효과


アルカブ,아르카브
眩き鋼鉄の外殻は叡智の煌めきを湛え、矢の如き瞬閃にて暴乱たる者を撃砕する。揺らぐ命の灯は永劫の嘆きに呑み込まれ、魂の荒廃を招くことだろう。
サザン・ディッパー,서던 디퍼
風属性ダメージ(特大)/味方全体の奥義ゲージ上昇量UP,풍속성 데미지(특대) / 아군 전체의 오의 게이지 상승량 UP
人馬の覇道,인마의 패도


アルカブ・プリオル,아르카브 프리오르
叡智は無垢なる翼を獲得し、凄絶なる乱流を空に刻む。仇なす暴虐は燼灰となりて彼方に散り、茫漠たる慟哭の果てに虚無へ帰らん。
サザン・ディッパーβ,서던 디퍼 β
風属性ダメージ(特大)/味方全体の奥義ゲージ上昇量UP/自分のアビリティ再使用間隔を*ターン短縮,"<span class=""text-small"">풍속성 데미지(특대) / 아군 전체의 오의 게이지 상승량 UP / 자신의 어빌리티 재사용 간격을 *턴 단축</span>"
黄木天の二重星,황목천의 이중성
フルチェインまたはオーバーチェイン発生時、効果中味方全体が必ずトリプルアタック　◆メイン装備時/主人公のみ,"<span class=""text-small"">풀체인 또는 오버체인 발생시, 효과 중 아군 전체가 반드시 트리플 어택　◆메인 장비시 / 주인공만</span>"


サイコガントレット,사이코 건틀릿
初代メカサイコヴィーラの腕を参考にして作られた、光かがやくガントレット。指の先から、とてつもない力をひめたスーパービームを放つ。このガントレットをつけて、キミもメカサイコヴィーラになろう！
チャラ男融解マニピュレーター
土属性ダメージ(特大)/味方全体のクリティカル確率UP
サイコ攻刃
チャラオ・デストロイヤー
奥義ゲージ上昇量UP<br>◆メイン装備時/主人公のみ


揺るがぬ大地の拳,굳건한 대지의 주먹
天司ウリエルに与えられた土の加護が極まり、真なる力を宿した手甲。刻まれた地脈の淡き輝きにて、堅牢なる護りと強靭なる力を与える。荘厳たる輝きを放つ大地の拳を携えし者は、昏き混沌の世を照らす希望の光となる。
ウリエルボンバー,우리엘 봄버
土属性ダメージ(特大)/味方全体の土属性攻撃UP/水属性ダメージ軽減,토속성 데미지(특대) / 아군 전체의 토속성 공격 UP / 수속성 데미지 경감
ウリエルの祝福III,우리엘의 축복 III


ド根性グローブ,초근성 글러브
その拳はあらゆるものを砕くことができるのか？　それは試してみないと分からない。だからとにかく拳を突き出せ！　勝者と敗者を分ける決定的な違いは、握った拳の使い方なのだ。
ド根性インパクト
土属性ダメージ(特大)/自分に逆境効果
パワーボム
ゴングが鳴るまで倒れはしない
バトル開始時にガッツ効果<br>◆メイン装備時/主人公のみ


レインボーハンド,레인보우 핸드
虹色に輝く見た目にも美しい手甲。振り抜いて弧を描く鮮麗な残像はさながら雨上がりの虹のように照り映え、希望と勝利への架け橋とならん。
レインボー・ブロー,레인보우 블로우
土属性ダメージ(特大)/発動ターン中自分にカウンター効果(被ダメージ/*回)/防御UP/敵対心UP


蒼宵光華,푸른밤의 빛
青鈍映える地紙に光華が描かれた風雅な団扇。伝統を受け継ぐ職人の匠の業が施された逸品であり、ひとたび扇げば涼やかな風とともに幻想的な夏の光景が鮮やかに蘇る。
泡沫光華,포말광화


不毀の籠手,불멸의 아대
陽光に彩られし強剛の籠手。放たれる一撃は漆黒の闇に閃光を刺し、次の一撃で万象を照らす。これを着けた戦士の辿る道は輝きに溢れ、闇は物陰に残ることすら叶わない。
畏れ無き剛爪


凛のマラカス,린의 마라카스
歌の練習をする際に星空凛が良く持ち出す、ポップなカラーリングのマラカス。振ると軽快な音が響き、演奏する者も演奏を聴く者も明るい気持ちになっていく。
ゴーイングドリーム

スクールアイドル,스쿨 아이돌
笑顔ならいつの日も大丈夫！
弱体効果を受けていない時、奥義ダメージUP　◆主人公のみ,약화 효과가 없으면 오의 데미지 UP　◆주인공만


ニーベルン・グラス,니벨룽 글라스
浜辺のバーテンダーがブローディアのオーダーを受けて作ったオリジナルのトロピカルジュース。鮮やかなグラデーションは彼女の持つ刃鏡をイメージし、仄かな甘さの中に鋭い切っ先を思わせる爽快感が潜む、すっきりとした味わいが特徴。
刃鏡トロピカル
土属性ダメージ(特大)/強化効果を*つ無効化
不可侵楽園
"<span class=""text-small"">土属性キャラに水属性ダメージカットが付与されている時、ダブルアタック確率UP<br>◆メイン装備時</span>"


ゴールドドラゴン,골드 드래곤
若く未熟な二匹の鯉は、いつか龍門を登りて金龍と相成るだろう。その恋の行く末も、荒波を掻き分けて黄金色の花と共に在る未来へ。
フェイロンハング
