orig,kr
ぷかぷかバルーン,둥실둥실 풍선
夢が詰まった色とりどりの風船,꿈이 담긴 형형색색의 풍선
ぺかぺかクラウン,반짝반짝 왕관
ぺかぺかと輝く可愛らしい王冠,반짝반짝 빛나는 귀여운 왕관
剣客の猪口,검객의 종지
剣客が好んで使用する猪口。勝利の美酒を味わうためには欠かせない器。,검객들이 즐겨 사용하는 작은 접시. 승리한 뒤의 맛나는 술을 마시기 위해서는 빼놓을 수 없는 접시
神秘の土塊,신비한 흙덩이
偶像を形成していた土塊。不思議な力をかすかに宿しており、極上の肥料となる。,우상을 형성한 흙덩이. 신비한 힘을 희미하게 품고 있으며 극상의 비료로 쓰인다
不滅の闘志,불멸의 투지
何度でも立ち上がり、遠き日の決着を求めて闘い続けた不滅の騎士の闘志。,먼 훗날의 결착을 바라며 몇번이고 일어서 싸워나간 불멸의 기사의 투지
刀剣のメダリオン,도검의 메달리온
活撃 刀剣乱舞 ～蒼天のえにし～で入手できる交換素材。集めることで様々な報酬と交換できる。,활격 도검난무 ～창천의 인연～에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
油揚げ,유부
色、艶、深いコクとわずかな甘み。何をとっても絶品な油揚げ。クダギツネである「こんのすけ」の大好物。,"색, 윤기, 깊은맛과 약간의 단맛. 누가 뭐래도 일품인 유부 쿠다키츠네다. ""콘노스케""가 좋아하는 음식"
白銀砥,백은 숫돌
研質が非常に細かい希少な砥石。白銀に輝く美しい刀剣の研磨に必要。,연질이 매우 고운 희귀한 숫돌. 백은빛으로 빛나는 아름다운 도검을 연마하는데 필요하다
桜花の煌めき,벚꽃의 섬광
幾度もの争いを経て、刀剣は真の輝きを身に纏う。見る者を魅了する桜花のごとき輝きは、唯一無二の名刀の証。,여러 번 싸움을 거친 도검은 진정한 빛을 몸에 걸친다. 보는 이의 마음을 사로잡는 벚꽃과도 같은 찬란함은 유일무이한 명검의 증거
さくらのメダリオン,사쿠라의 메달리온
カードキャプターさくら～さくらと不思議な空の冒険～で入手できる交換素材。集めることで様々な報酬と交換できる。,카드캡터 사쿠라～사쿠라와 신기한 하늘모험～에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
たこ焼き,타코야키
ケロちゃんの大好物でアツアツのたこ焼き。,케로가 정말 좋아하는 음식인 따끈따끈한 타코야키
知世のビデオカメラ,토모요의 비디오카메라
さくらの勇姿を逃すまいと、知世が片時も離さずに持ち歩いているビデオカメラ。,사쿠라의 씩씩한 모습을 놓치지 않으려고 토모요가 한시도 손에서 놓지 않고 들고 다니는 캠코더
封印の鍵,봉인의 열쇠
さくらがクロウカードの封印や解除に使うアイテム。<br>普段は鍵の形をしているが、呪文を唱えることで杖に変化する。,사쿠라가 크로우 카드의 봉인이나 해제에 사용하는 아이템.<br>평상시에는 열쇠의 형태를 하고 있지만 주문을 외우면 지팡이로 변한다
巨人のメダリオン,거인의 메달리온
タイタニック・イェーガーで入手できる交換素材。集めることで様々な報酬と交換できる。,TITANIC YEAGER에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
蒸かし芋,찐감자
蒸かした芋に少量の塩で味付けした簡素な料理。壁内では貴重な食料である。,쪄낸 감자에 소금으로 간을 한 간소한 요리. 벽내에서는 귀중한 식량이다
立体機動装置,입체기동장치
人類の三次元的な機動を可能にする、対巨人戦用の装置一式。,"인류의 3차원적인 기동을 가능케 하는, 대거인 전용 장치"
調査兵団紋章,조사병단문장
その身を犠牲に壁外の巨人領域に挑む調査兵団の証。誇らしき重ね翼は自由を象徴する。,그 몸을 희생하여 벽 밖의 거인 영역에 도전하는 조사병단의 증표. 자랑스러운 날개 문양은 자유를 상징한다
探偵のメダリオン,탐정의 메달리온
謀略の歯車で入手できる交換素材。集めることで様々な報酬と交換できる。,모략의 톱니바퀴에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
DBバッジ,DB배지
少年探偵団のメンバーにだけ与えられる探偵バッジ,어린이 탐정단의 멤버들에게만 주어지는 탐정 배지
蝶ネクタイ型変声機,나비넥타이 음성변조기
変幻自在に声色をかえることができる蝶ネクタイ,목소리를 변환할 수 있는 나비 넥타이
犯人追跡メガネ,범인추적 안경
半径20キロ以内なら居場所を突き止められるメガネ,반경 20km 이내라면 위치를 알아낼 수 있는 안경
怪盗のメダリオン,괴도의 메달
Persona5 Thievery in Blueで入手できる交換素材。集めることで様々な報酬と交換できる。,Persona5 Thievery in Blue에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
ジャックフロスト人形,잭 프로스트 인형
とある国に伝わる冬と霜の妖精をイメージした人形。,어떤 나라에서 전해지는 겨울과 서리의 요정을 형상화한 인형
ブランクカード,블랭크 카드
何もかかれていない白紙のカード。,아무것도 찍혀 있지 않은 백지 카드
予告状,예고장
パレス最奥にあるオタカラを具現化させるために相手に送りつける書状。,팰리스 가장 안쪽에 있는 보물을 구현하기 위해 상대방에게 보내는 편지
踊子のメダリオン,댄서의 매달리온
Aqours スカイハイ！で入手できる交換素材。集めることで様々な報酬と交換できる。,Aqours 스카이하이！에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
浦女魂扇子,우라죠의 혼 부채
浦の星女学院の愛称である「浦女」と大きく書かれた黒澤ダイヤの愛用する扇子。,"우라노호시 여학원의 애칭인 ""우라죠""라고 크게 쓰여진 쿠로사와 다이아가 애용하는 부채"
黒い羽根,검은 깃털
津島善子が堕天使ヨハネとして身に着ける黒い羽根。,츠시마 요시코가 타천사 요하네로서 장식한 검은 날개의 깃털
摘みたてみかん,싱싱한 귤
高海千歌の好物。とある地域では魚介や野菜と煮込んで食べる習慣があるという。,타카미 치카가 좋아하는 과일. 어떤 지역에서는 해산물이나 채소와 함께 끓여먹기도 한다고 한다
プリキュアのメダリオン,프리큐어의 메달리온
蒼空のおもいでで入手できる交換素材。集めることで様々な報酬と交換できる。,창공의 추억에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
プリキュア手帳,프리큐어 수첩
石の番人・ウィズダムから贈られた手帳。手帳に書いた文字は、光の園の力により他の人には読むことができない。,돌의 파수꾼 위즈덤이 보내준 수첩. 수첩에 쓴 글은 빛의 정원의 힘으로 다른 사람은 읽을 수 없다
クイーンのカード,퀸 카드
カードコミューンにスラッシュすることで、プリキュアに変身することができるカード。光の園のクイーンが描かれている。,카드 커뮨으로 슬래시함으로써 프리큐어로 변신할 수 있는 카드. 빛의 정원의 퀸이 그려져 있다
カードコミューン,카드 커뮨
プリキュアカードをスラッシュすることで、メップルとミップルのお世話をしたり、プリキュアに変身することができるアイテム。,프리큐어 카드를 슬래시함으로써 멧플과 밋플을 돌보거나 프리큐어로 변신할 수 있는 아이템
プリンセスメダリオン,프린세스 메달리온
蒼空の食卓をともにで入手できる交換素材。集めることで様々な報酬と交換できる。,창공의 식탁에서 함께에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
身代わりのバングル,수호의 팔찌
長きに渡り君臨した皇帝が作らせたという伝説の魔道具。装備者に降りかかる厄災を肩代わりするという。,오랜 세월을 군림한 황제가 만들게 했다는 전설의 마도구. 착용자에게 닥치는 재앙을 대신 받는다
精錬結晶,정련결정
より強力な武器を生み出すために必要な純度の高い結晶。,보다 강력한 무기를 만들기 위해 필요한 순도 높은 결정체
ブラック・メダリオン,블랙 메달리온
蒼穹に散るゼロで入手できる交換素材。<br>集めることで様々な報酬と交換できる。,창궁에 흩어지는 제로에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
キングのチェスピース,킹 체스피스
王様から動かないと、部下がついてこないだろ？,왕이 행동하지 않으면 부하가 따라오겠어？
騎士章,기사 훈장
汝、ここに騎士の誓約を立て、<br>ブリタニアの騎士として戦うことを願うか。<br>──イエス、ユアハイネス。,"그대, 여기서 기사의 서약을 받고,<br>브리타니아의 기사로서 싸우겠는가?<br>Yes, Your Highness"
笑顔のメダリオン,미소의 메달리온
ソラノトビラで入手できる交換素材。<br>集めることで様々な報酬と交換できる。,하늘의 문에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
黄金米のおにぎり,황금쌀 주먹밥
小泉花陽の大好物である「白いご飯」を<br>握って作られたもの。<br>つやつやの黄金米で握られたおにぎりは格別のおいしさ。,"코이즈미 하나요가 좋아하는 ""흰밥""을 주먹밥으로 만든 것.<br>윤기가 흐르는 황금쌀로 만든 주먹밥은 별미다"
穂むらまんじゅう,호무라 만쥬
高坂穂乃果の実家である和菓子屋「穂むら」の名物。<br>略して「ほむまん」。,"코우사카 호노카의 본가인 화과자점 ""호무라""의 명물.<br>줄여서 ""호무만""이라 불린다"
ガチャピン・ムックメダリオン,가챠핀・무크 메달리온
あおぞらものがたりで入手できる交換素材。<br>集めることで様々な報酬と交換できる。,푸른하늘 이야기에서 얻을 수 있는 교환 소재. 모아서 다양한 보수와 교환할 수 있다
ムック人形,무크 인형
ムックをモチーフにした人形。<br>持っているとどこか心が落ち着く気がする。,무크 인형. 가지고 있으면 왠지 마음이 안정되는 기분이 든다
ガチャピン人形,가챠핀 인형
ガチャピンをモチーフにした人形。<br>持っているとどこか勇気と力が湧き出てくる気がする。,가챠핀 인형. 가지고 있으면 왠지 용기와 힘이 솟아나는 기분이 든다
白い羽根,하얀 깃털
ルシフェルの翼から抜け落ちた巨大な羽根。,루시펠의 날개에서 빠진 거대한 깃털
穿光のパトス,천광의 파토스
溢れ出る感情の爆発は、真紅の穿光にアルベスの真なる覚醒を呼び起こさせる。,넘치는 감정의 폭발은 진홍색 천광으로 알베스의 진정한 각성을 불러일으킨다


"!토멸전재료(제노시리즈/켈베,펜릴)"
紅の岩鱗,붉은 바위비늘
熱を帯び鮮やかな紅色を発するイフリートの鱗,선명한 붉은색을 가진 열을 띠고있는<br>이프리트의 비늘
灼熱の尖角,작열의 첨각
イフリートの頭部から突き出た、マグマの如き熱量を秘めた角の一部,이프리트의 머리에서 튀어나온 마그마 같은<br>열량을 가진 뿔의 일부
イフリートのアニマ,이프리트의 아니마
イフリートの力の結晶,이프리트의 힘이 담긴 결정
イフリートのマグナアニマ,이프리트의 마그나 아니마
イフリートの真の力の結晶,이프리트의 진정한 힘이 담긴 결정
灼滅の焔角,작멸의 염각
灼滅の間に渦巻く憤怒が刻まれた角,작멸의 틈에서 소용돌이치는 분노가 담긴 뿔
灼滅の金剛杵,작멸의 금강저
ゼノ・イフリートが灼炎を操るのに用いられる宝具,제노・이프리트가 작염을 조종하는데<br>사용하는 보구
ゼノ・イフリートの真なるアニマ,제노・이프리트의 진정한 아니마
ゼノ・イフリートの真なる力の結晶,제노・이프리트의 진정한 힘이 담긴 결정
嘆きの氷片,비탄의 얼음조각
亡者達の住まう氷獄の川が凍りついた際に生成された氷の欠片,망자들이 사는 빙옥의 강이 얼어붙었을 때<br>만들어진 얼음조각
氷獄の六角晶,빙옥의 육각정
漆黒の大穴の底に送られた罪人の魂が、裁きにより結晶化したもの,칠흑의 큰 구멍으로 끌려간 죄인의 영혼이<br>심판받아 결정화된 물질
コキュートスのアニマ,코퀴토스의 아니마
コキュートスの力の結晶,코퀴토스의 힘이 담긴 결정
コキュートスのマグナアニマ,코퀴토스의 마그나 아니마
コキュートスの真の力の結晶,코퀴토스의 진정한 힘이 담긴 결정
氷獄の結晶,빙옥의 결정
氷獄の間に響く嘆きの結晶,빙옥의 틈에서 울려 퍼지는 비탄의 결정
氷獄大帝の翼,빙옥대제의 날개
氷獄を飛翔した際に落ちたゼノ・コキュートスの翼片,빙옥에서 날아간 제노・코퀴토스에게서 떨어져 나간 날개조각
ゼノ・コキュートスの真なるアニマ,제노・코퀴토스의 진정한 아니마
ゼノ・コキュートスの真なる力の結晶,제노・코퀴토스의 진정한 힘이 담긴 결정
像の石片,석상의 석편
人々の善行・悪行を記録する石像の欠片,사람들의 선행과 악행을 기록하는 석상의 파편
裁輝晶,재휘정
大地の意思が集まり生成された、橙色に輝く水晶,대지의 의지가 모여서 생성된 주황빛 수정
ウォフマナフのアニマ,보후 마나흐의 아니마
ウォフマナフの力の結晶,보후 마나흐의 힘이 담긴 결정
ウォフマナフのマグナアニマ,보후 마나흐의 마그나 아니마
ウォフマナフの真の力の結晶,보후 마나흐의 진정한 힘이 담긴 결정
裁考の水晶,재고의 수정
裁考の間に綴られる審判を映した水晶,재고의 틈에서 맺어진 심판을 투영하는 수정
聖性の経典,성성의 경전
ゼノ・ウォフマナフが悪性を浄化する際に用いられる宝具,제노・보후 마나흐가 악을 정화할 때 사용하는 보구
ゼノ・ウォフマナフの真なるアニマ,제노・보후 마나흐의 진정한 아니마
ゼノ・ウォフマナフの真なる力の結晶,제노・보후 마나흐의 진정한 힘이 담긴 결정
アルナスルの矢じり,알나스르의 화살촉
サジタリウスの放った矢の先端<br>未知の金属で成形されている,사지타리우스가 쏜 화살의 화살촉<br>미지의 금속으로 만들어졌다
ゾディアックルーン・サジタリウス,조디악 룬 사지타리우스
黄道十二宮の「人馬」を示す紋章が刻まれた円盤,황도십이궁의 「인마」를 나타내는 문장이 새겨진 원반
サジタリウスのアニマ,사지타리우스의 아니마
サジタリウスの力の結晶,사지타리우스의 힘이 담긴 결정
サジタリウスのマグナアニマ,사지타리우스의 마그나 아니마
サジタリウスの真の力の結晶,사지타리우스의 진정한 힘이 담긴 결정
人馬の円盤,인마의 원반
人馬の間に満ちる矜持を秘めた円盤,인마의 틈에서 가득찬 긍지를 담은 원반
ゾディアック・ホーフ,조디악 호프
幾多の戦局を駆け抜けてきたゼノ・サジタリウスの蹄鉄,수많은 전장을 달려온 제노・사지타리우스의 말굽
ゼノ・サジタリウスの真なるアニマ,제노・사지타리우스의 진정한 아니마
ゼノ・サジタリウスの真なる力の結晶,제노・사지타리우스의 진정한 힘이 담긴결정
紅炎のリング,홍염의 고리
触れると火傷しそうなほどの熱量を持つ金属製の輪,닿으면 화상을 입을 것 같은 금속제 고리
サンライトクォーツ,선라이트 쿼츠
太陽の如く眩い光を放つ水晶,태양처럼 눈부신 빛을 내는 수정
コロゥのアニマ,코로우의 아니마
コロゥの力の結晶,코로우의 힘이 담긴 결정
コロゥのマグナアニマ,코로우의 마그나 아니마
コロゥの真の力の結晶,코로우의 진정한 힘이 담긴 결정
妃光の水晶,비광의 수정
妃光の間を照らす輝きを封じた水晶,비광의 틈에서 비추는 빛을 봉인한 수정
劫火の鉄扇,겁화의 쇠부채
ひとたび扇げば、辺り一面を猛火で焼き尽くす鉄扇,"한번 부치면, 온 세상을 맹렬히 불태워버리는 부채"
ゼノ・コロゥの真なるアニマ,제노・코로우의 진정한 아니마
ゼノ・コロゥの真なる力の結晶,제노・코로우의 진정한 힘이 담긴 결정
昏き外衣の切れ端,검은외투의 천조각
ディアボロスが身に着けているマントの切れ端,디아볼로스가 둘렀던 망토의 조각
暗玉の破片,암옥의 파편
闇の淀みによって生まれたエネルギー凝集体の破片,어둠의 웅덩이에서 생겨난 에너지 응집체의 파편
ディアボロスのアニマ,디아볼로스의 아니마
ディアボロスの力の結晶,디아볼로스의 힘이 담긴 결정
ディアボロスのマグナアニマ,디아볼로스의 마그나 아니마
ディアボロスの真の力の結晶,디아볼로스의 진정한 힘이 담긴 결정
幻魔の破片,환마의 파편
幻魔の間に漂う闇の淀みの欠片,환마의 틈에서 감도는 어둠의 웅덩이의 파편
妖魔の枷鎖,요마의 가쇄
ゼノ・ディアボロスが孕みし厭悪を抑えるための枷鎖,제노・디아볼로스가 품은 혐오와 증오를 억제하기 위한 쇠사슬
ゼノ・ディアボロスの真なるアニマ,제노・디아볼로스의 진정한 아니마
ゼノ・ディアボロスの真なる力の結晶,제노・디아볼로스의 진정한 힘이 담긴 결정
カローンクッキー,카론 쿠키
ケルベロスが大好きなクッキー,케르베로스가 좋아하는 쿠키
ケルベロッテリボン,케르베롯테 리본
ココ＆ミミのチャームポイントである赤いリボン,코코＆미미의 챠밍포인트인 붉은리본
ケルベロスのアニマ,케르베로스의 아니마
ケルベロスの力の結晶,케르베로스의 힘이 담긴 결정
ケルベロスのマグナアニマ,케르베로스의 마그나 아니마
ケルベロスの真の力の結晶,케르베로스의 진정한 힘이 담긴 결정
マジックヘイロー,매직 헤일로
ココとミミが頭上に頂く光の輪,코코와 미미의 머리 위에 떠 있는 빛의 고리
ホワイトフレーク,화이트 플레이크
触れると冷気を感じる美しい氷の結晶,닿으면 냉기가 느껴지는 아름다운 얼음 결정체
ホーリーナイトベル,홀리나이트 벨
聖夜にのみ聴こえる透き通った音色を奏でるベル,성야에만 들리는 맑은 소리를 내는 종
フェンリルのアニマ,펜릴의 아니마
フェンリルの力の結晶,펜릴의 힘이 담긴 결정
フェンリルのマグナアニマ,펜릴의 마그나 아니마
フェンリルの真の力の結晶,펜릴의 진정한 힘이 담긴 결정
クレセントシャックル,크레센트 섀클
三日月が組み合わさったような形状のフェンリルを封印する枷,초승달을 겹친것 같은 모양의 펜릴을 봉인하는 사슬


!그외재료
ブロンズムーン,브론즈문
赤銅色に光る、三日月形の貴石,구릿빛을 내는 초승달 모양의 귀석
シルバームーン,실버문
白銀色に輝く、三日月形の貴石,은빛을 내는 초승달 모양의 귀석
ゴールドムーン,골드문
黄金色に煌めく、三日月形の貴石,황금빛을 내는 초승달 모양의 귀석
ダマスカスダスト,다마스쿠스 더스트
ふるいに掛ける事で、ダマスカス磁性粒子が得られることもあるという貴重な砂塵。,체에 걸러내면 다마스쿠스 자성입자를 얻을 수 있는 귀중한 모래먼지
ダマスカス磁性粒子,다마스쿠스 자성입자
超微粒でありながらも緻密な構造をもつ金属の粉末。ダマスカス骸晶の原料になると言われている。,초미립자이면서도 치밀한 구조를 가진 금속가루. 다마스쿠스 해정의 원료가 된다
ダマスカス骸晶,다마스쿠스 해정
幾何学的な形状をもつ金属結晶。ダマスカス鋼の原料になると言われている。,기하학적인 형상을 가진 금속결정.<br>다마스쿠스 강의 원료가 된다
クロム鋼,크롬강
クロムが金属表面に不動態皮膜を作ることで、高強度になった鋼。ヒヒイロカネの原料になると言われている。,크롬이 금속표면에 부동태 피막을 만들어 내어 고<br>강도가 된 강철. 히히이로카네의 원료가 된다
勲章,훈장
古戦場において功績をあげた騎空士に贈られる記章,고전장에서 공적을 세운 기공사에게 수여하는 훈장
ベッティングカード,배팅카드
古戦場における4エリアでの戦いの勝敗を予想する投票券
星土の結晶,성토의 결정
土の元素が多く含まれる特殊な鉱石。,땅의 원소가 많이 함유된 특수한 광석
ハピネスキャロット,해피니스 캐럿
見つけた者には幸運が訪れると伝えられている、アマルティア島原生のとても珍しいにんじん。,발견한 사람에게는 행운이 온다고 전해지는 아말티아 섬의 희귀한 당근
エビフライ・レプリカ,새우튀김 레플리카
過去の清算と素晴らしき生活の象徴。,과거의 청산과 멋들어진 삶의 상징
バハムートの鉤爪,바하무트의 손톱
湾曲したバハムートの爪。特異点たりうる力と覚悟を証明した証,만곡한 바하무트의 손톱. 특이점이 갖춰야 할 힘과 각오를 증명한 증거
サモン・クレイドル,서몬 크레이들
力を認められた証。新たな力を得る事ができる赤く光り輝く石。,힘을 인정받은 증거. 새로운 힘을 얻을 수 있는 붉게 빛나는 돌
預言者の腕輪,예언자의 팔찌
空に生きる者達の力を示して認められ、感謝と祝福の証として贈られた腕輪。,하늘에서 살아가는 자들의 힘을 보여주고 인정받아 감사와 축복의 증거로서 받은 팔찌
雄偉者たちの羽織物,위대한 자들의 후드
全空最強の称号を持つものたちの装束。<br>十天衆にその実力を認められた者のみ、袖を通す資格を得る。,모든 하늘에서 최강의 칭호를 가진 자들의 옷.<br> 십천중에게 실력을 인정받은 자만이 입을 자격을 얻는다
6th Anniversary記念コイン,6th Anniversary 기념 코인
グランブルーファンタジー6周年を記念してシェロカルテから贈られたコイン,그랑블루 판타지의 6주년을 기념하여 셰로카르테가 선물로 준 동전


討伐手形,토벌 증서
群魔の押し寄せる城砦の街での武勇を称えた手形。,마의 군세가 몰려드는 성채에서의 무용담을 찬양하는 증서


蒼光の輝石,창광의 휘석
蒼の美しい輝きをたたえる石,푸르고 아름다운 빛을 찬양하는 돌

!공도의 파편
風は旅人を優しく送り出す。<br>運命へと至る歩みを決して止めぬようにと。,바람은 여행자를 부드럽게 보낸다.<br>운명에 이르는 발걸음을 결코 멈추지 않도록
火は旅人の道を照らす。<br>燃ゆる意志は絶対の道標となって旅を導く。,불은 여행자의 길을 밝힌다.<br>타오르는 의지는 절대적인 지표가 되어<br>여행을 인도한다
水は旅人に縁を繋ぐ。<br>淀まぬ流れは幾つもの宿命を繋ぎ合わせる。,물은 여행자에게 인연을 이어준다.<br>끊임없는 흐름은 수많은 숙명을 잇는다
木々は旅人を静かに包む。<br>星霜の大樹は過去を未来へと送り届ける。,나무는 여행자를 조용히 감싼다.<br>기나긴 세월을 지낸 거목은 과거를 미래로 보낸다
騎士は旅人に固く誓う。<br>誓約の剣は絡む過去を断ち未来を切り拓く。,기사는 여행자에게 굳게 맹세한다.<br>서약의 검은 얽매인 과거를 끊고 미래를 개척한다
幻影は旅人の歩みを見守る。<br>悔恨は試練として信じる道の礎となる。,환영은 여행자의 발걸음을 지켜본다.<br>회한은 시련이 되어 나아갈 길의 초석이 된다
約束は旅人の歩みを阻む。<br>生まれる間隙はより強固な決意を育む。,약속은 여행자의 발걸음을 가로막는다.<br>생겨난 불화는 보다 굳건한 결의를 다진다
因果は旅人を翻弄する。<br>断たれた縁を手繰り寄せて絆を抱く。
歴史は旅人によって綴られる。<br>一つの決着は新たな歩みの始まりとなる。
過酷は旅人に力を強いる。<br>頂より至る新たな空へ、物語は続く。
"賢者は旅人の未来を視る。<br>
相対の覚悟は新たな運命の起点となる。"





!중요한것(시나리오 등으로 획득가능한 트레져들)
ティアマトの朝凪,티아마트의 잔잔한 바람
ティアマトに勝利した証。<br>Rankポイントが**%上昇する。,티아마트에게 승리한 증거<br>Rank 포인트가 **% 증가한다
鉄巨人の刃金,철거인의 칼 조각
鉄巨人に勝利した証。<br>キャラと装備の強化時の取得経験値が*%上昇する。,철거인에게 승리한 증거<br>캐릭터와 장비 강화시 습득 경험치가 *% 증가한다
リヴァイアサンの白露,리바이어선의 이슬
リヴァイアサンに勝利した証。<br>強化大成功確率が*%上昇する。,리바이어선에게 승리한 증거<br>강화 대성공 확률이 *% 증가한다
ユグドラシルの碧葉,유그드라실의 푸른 잎
ユグドラシルに勝利した証。<br>EXPが*%上昇する。,유그드라실에게 승리한 증거<br>EXP가 *% 증가한다
シュヴァリエの矜持,슈발리에의 긍지
シュヴァリエに勝利した証。<br>クエスト時の取得ルピが*%上昇する。,슈발리에에게 승리한 증거<br>퀘스트에서 습득하는 루피가 *% 증가한다
セレストの錨,세레스트의 닻
セレストに勝利した証。<br>闇属性キャラと装備の強化時に取得経験値が*%上昇する。,세레스트에게 승리한 증거<br>암속성 캐릭터와 장비 강화시 습득 경험치가<br>*% 증가한다
ミスラの歯車,미스라의 톱니바퀴
ミスラに勝利した証。<br>カスタムptが**%上昇する。,미스라에게 승리한 증거<br>커스텀 pt가 **% 증가한다
秩序の天秤,질서의 천칭
モニカとリーシャに勝利した証。<br>風属性キャラと装備の強化時に取得経験値が*%上昇する。,모니카와 리샤에게 승리한 증거<br>풍속성 캐릭터와 장비 강화시 습득 경험치가<br>*% 증가한다
古代ゴーレムの魔力炉,고대 골렘의 마력로
旧王都メフォラシュに眠っていた歴史のある品。<br>土属性キャラと装備の強化時に取得経験値が*%上昇する。,구 왕도 메포라슈에 잠들어 있던 역사적인 물건<br>토속성 캐릭터와 장비 강화시 습득 경험치가 *% 증가한다
読み解けない紙片,읽을 수 없는 종잇조각
星の民が書き記したと推測される、判読できないほど朽ちてしまった紙片。<br>属性強化スキルの取得経験値が*%上昇する。,별의 민족이 썼다고 추측되는 판독할 수 없을<br>정도로 썩어버린 종잇조각<br>속성강화 스킬의 습득 경험치가 *% 증가한다
規律の灯火,규율의 등불
アマルティア島を帝国から奪還した証。<br>火属性キャラと装備の強化時に取得経験値が*%上昇する。,아말티아 섬을 제국에서 탈환한 증거<br>화속성 캐릭터와 장비 강화시 습득 경험치가<br>*% 증가한다
金露果,금로과
金露森林に稀に生る貴重な果物。<br>光属性キャラと装備の強化時に取得経験値が*%上昇する。,금로삼림에서 드물게 열리는 귀중한 과일<br>광속성 캐릭터와 장비 강화시 습득 경험치가<br>*% 증가한다
マリスレッドリーフ,마리스 레드리프
ユグドラシルをマリスから解放した証。<br>土属性武器のエレメント化費用が*％減少する。,유그드라실을 마리스에서 해방시킨 증거<br>토속성 무기의 엘리멘트화 비용이 *% 감소한다
虚空の花,허공의 꽃
アーカーシャに勝利した証。<br>レアモンスターの出現確率が上昇する。,아카샤에게 승리한 증거.<br>레어 몬스터의 출현 확률이 증가한다
エンゲージアトモスフィア,인게이지 아트모스피어
キクリに勝利した証。<br>サポート協力報酬が50%上昇する。,키쿠리에게 승리한 증거.<br>서포트 협력 보수가 50% 증가한다
狂乱のメダリオン,광란의 메달리온
フリーシアに勝利した証。<br>光属性武器のエレメント化費用が5％減少する。,프리시아에게 승리한 증거.<br>광속성 무기의 엘리멘트화 비용이 5% 감소한다
銀鎧甲のゴージット,은갑주 고지트
ディコトムスに勝利した証。<br>武器売却時の取得ルピが5%上昇する。,디코토무스에 승리한 증거.<br>무기 판매시 습득 루피가 5% 증가한다
翠玉の耳飾り,에메랄드 귀걸이
ラインハルザに勝利した証。<br>火属性武器のエレメント化費用が5％減少する。,라인하르자에게 승리한 증거.<br>화속성 무기의 엘리멘트화 비용이 5% 감소한다
畏敬の袈裟当て,경외로운 승려복
ゼエンに勝利した証。<br>風属性武器のエレメント化費用が5％減少する。,제엔에게 승리한 증거.<br>풍속성 무기의 엘리멘트화 비용이 5% 감소한다
アルカンシエルの花,아르칸시엘의 꽃
ベスティエ島の奥深くに咲く幻の花。<br>水属性武器のエレメント化費用が5％減少する。,베스티에 섬의 깊숙한 곳에서 피는 환상의 꽃.<br>수속성 무기의 엘리멘트화 비용이 5% 감소한다
亡滅の宝冠,망멸의 보석관
長い年月の間、シュテルケ島のかつての王城跡で雨風に晒されていたクラウン。<br>傷と錆でかつての華やかさは失われたが、散りばめられた宝石は未だ輝きを失ってはいない。<br>ナル・グランデ空域のレアモンスターの出現確率が大きく上昇する。,"오랜 세월 동안 슈테르케 섬의 옛 왕성터에서 비바람을 맞은 왕관.<br>흠집과 녹으로 과거의 화려함은 사라졌지만, 박혀있는 보석은 아직까지 빛을 잃지않았다.<br>나루·그랑데 공역의 레어 몬스터의 출현 확률이 크게 증가한다"
神火の種火,신화의 불씨
星晶獣ヱビスが起こした神火のごく一部を保管したもの。<br>決して消える事のない炎は煌々と燃え盛る。<br>召喚石売却時の取得ルピが5%上昇する。,성정수 에비스가 일으킨 신의 불꽃의 극히 일부를 보관한 것.<br>결코 꺼지지 않는 불꽃은 휘황찬란하게 타오른다.<br>소환석 매각시 습득 루피가 5% 상승한다
怪盗が残した地図,괴도가 남긴 지도
怪盗からの挑戦の道標となる地図。<br>強化大成功率が1％上昇する。,괴도에게서 온 도전의 길잡이가 되는 지도.<br>강화 대성공률이 1% 증가한다
十天光輝の楯,십천광휘의 방패
十天衆を総べし者である事を<br>証明する認定楯。<br>曇りなき透明は対立や対照されることなく、<br>全てを静かに見守る姿勢であることを示す。<br>バトル開始時に十天衆のステータスと奥義ゲージが上昇する。,십천중을 총괄하는 자 라는 것을 증명하는 방패.<br>청명함은 대립이나 대조를하지 않고 모든 것을 조용히 지켜보는 자세를 나타낸다.<br>배틀 개시시에 십천중의 스테이터스와 오의 게이지가 증가한다
プレミアムエビフライ,프리미엄 새우튀김
